Crop,Type,Soil,Ideal_Temp_C,Rainfall_mm,Season,Recommended_Fertilizer,Common_Pests/Diseases,Region_States,Sowing_Period,Harvest_Period,Average_Yield
Pumpkin,Fruit,Saline,14-24,600-800,Zaid,NPK 20:20:0,Early blight,Gujarat,Mar-Apr,Jun-Jul,4.94
Ragi,Cereal,Sandy Loam,19-29,900-1100,Annual,Muriate of Potash,Leaf spot,Jharkhand,Varies,Varies,2.63
Cotton,Oilseed,Laterite,13-23,200-500,Annual,Muriate of Potash,Late blight,Karnataka,Varies,Varies,2.09
Bajra,Cereal,Sandy Loam,14-24,700-1200,Annual,Muriate of Potash,Thrips,Tamil Nadu,Varies,Varies,0.98
Moringa,Oilseed,Loamy,20-30,400-500,Annual,Lime,Root rot,Manipur,Varies,Varies,3.63
Okra,Vegetable,Saline,24-34,700-800,Perennial,Urea,Cutworm,Meghalaya,Varies,Varies,2.88
Pomegranate,Fruit,Loamy,21-31,300-600,Kharif,Compost,Powdery mildew,Assam,Jun-Jul,Sep-Oct,2.9
Chili,Vegetable,Alluvial,12-22,1000-1500,Kharif,Lime,Fruit borer,Assam,Jun-Jul,Sep-Oct,2.98
Jowar,Cereal,Clay Loam,14-24,800-1100,Perennial,Organic FYM,Stem borer,Tamil Nadu,Varies,Varies,2.12
Cucumber,Other,Black (Regur),16-26,900-1400,Perennial,NPK 12:32:16,Blast disease,Himachal Pradesh,Varies,Varies,4.18
Saffron,Oilseed,Saline,29-39,300-500,Rabi,NPK 12:32:16,Early blight,Uttarakhand,Oct-Nov,Mar-Apr,2.81
Guava,Fruit,Alluvial,23-33,1500-1800,Perennial,Muriate of Potash,Thrips,Chhattisgarh,Varies,Varies,30
Sesamum,Vegetable,Red,22-32,600-1400,Perennial,Urea,Pod borer,Jammu & Kashmir,Varies,Varies,3.21
Bottle Gourd,Vegetable,Alluvial,10-20,400-700,Zaid,Balanced NPK 100:50:50,Powdery mildew,Andhra Pradesh,Mar-Apr,Jun-Jul,1.69
Brinjal,Vegetable,Red,25-35,1500-1700,Kharif,DAP,None common,Karnataka,Jun-Jul,Sep-Oct,3.39
Betel Vine,Plantation,Saline,23-33,600-1100,Kharif,Organic FYM,Locusts,Arunachal Pradesh,Jun-Jul,Sep-Oct,3.56
Sugarcane,Plantation,Red,20-30,900-1100,Zaid,Muriate of Potash,Leaf roller,Karnataka,Mar-Apr,Jun-Jul,83
Saffron,Cash Crop,Alluvial,19-29,600-1400,Kharif,Lime,Brown spot,Tripura,Jun-Jul,Sep-Oct,3.66
Jute,Plantation,Sandy Loam,20-30,1500-1800,Zaid,Balanced NPK 100:50:50,Leaf spot,Nagaland,Mar-Apr,Jun-Jul,2.43
Sweet Potato,Oilseed,Alluvial,14-24,1000-1300,Zaid,Gypsum,Powdery mildew,Maharashtra,Mar-Apr,Jun-Jul,4.09
Mango,Fruit,Peaty,17-27,500-1300,Annual,No fertilizer (organic),Locusts,Uttarakhand,Varies,Varies,25
Masoor,Pulse,Loamy,12-22,300-500,Kharif,Gypsum,Nematode,Tamil Nadu,Jun-Jul,Sep-Oct,3.21
Cinnamon,Other,Sandy Loam,15-25,600-700,Kharif,NPK 20:20:0,Cutworm,Uttarakhand,Jun-Jul,Sep-Oct,3.83
Mustard,Oilseed,Laterite,14-24,300-800,Kharif,DAP,Stem borer,Tripura,Jun-Jul,Sep-Oct,2.77
Arecanut,Plantation,Alluvial,26-36,1200-1300,Perennial,DAP,Bacterial blight,Punjab,Varies,Varies,1.48
Moong (Green Gram),Pulse,Saline,16-26,1200-1400,Rabi,Balanced NPK 100:50:50,Nematode,Uttar Pradesh,Oct-Nov,Mar-Apr,1.77
Chili,Vegetable,Sandy Loam,15-25,1000-1800,Rabi,Lime,Fall armyworm,Haryana,Oct-Nov,Mar-Apr,1.5
Wheat,Cereal,Laterite,16-26,600-800,Annual,Urea,Mosaic virus,Bihar,Varies,Varies,4.93
Bitter Gourd,Cash Crop,Saline,15-25,900-1000,Rabi,Organic FYM,Fruit borer,Madhya Pradesh,Oct-Nov,Mar-Apr,1.54
Masoor,Pulse,Black (Regur),24-34,300-1100,Rabi,Gypsum,None common,Gujarat,Oct-Nov,Mar-Apr,3.72
Barley,Cereal,Sandy Loam,25-35,300-800,Zaid,Gypsum,Fungal wilt,Arunachal Pradesh,Mar-Apr,Jun-Jul,2.73
Cinnamon,Vegetable,Peaty,23-33,600-1100,Rabi,DAP,Early blight,Meghalaya,Oct-Nov,Mar-Apr,1.87
Drumstick,Pulse,Clay Loam,24-34,1000-1100,Kharif,Muriate of Potash,Fruit borer,Rajasthan,Jun-Jul,Sep-Oct,4.15
Jute,Plantation,Sandy Loam,16-26,700-900,Annual,Ammonium Sulphate,Whitefly,Kerala,Varies,Varies,4.4
Chili,Vegetable,Clay Loam,21-31,900-1700,Perennial,Gypsum,Locusts,Karnataka,Varies,Varies,1.55
Soybean,Oilseed,Loamy,25-35,500-700,Kharif,DAP,Mosaic virus,Punjab,Jun-Jul,Sep-Oct,4.12
Sorghum,Oilseed,Clay Loam,29-39,1500-1800,Rabi,NPK 12:32:16,Fungal wilt,Sikkim,Oct-Nov,Mar-Apr,0.94
Moringa,Plantation,Laterite,19-29,1500-2000,Perennial,Lime,Bacterial blight,Jharkhand,Varies,Varies,2.72
Maize,Cereal,Clay Loam,13-23,800-1300,Zaid,Ammonium Sulphate,Late blight,Chhattisgarh,Mar-Apr,Jun-Jul,0.83
Coriander,Oilseed,Loamy,23-33,400-700,Perennial,Gypsum,None common,Bihar,Varies,Varies,3.14
Bitter Gourd,Plantation,Peaty,15-25,1000-1100,Perennial,NPK 12:32:16,Early blight,Goa,Varies,Varies,4.77
Sweet Potato,Fruit,Sandy Loam,11-21,200-1000,Kharif,Muriate of Potash,Nematode,Gujarat,Jun-Jul,Sep-Oct,4.14
Cabbage,Vegetable,Black (Regur),23-33,700-1000,Perennial,Organic FYM,Leaf roller,Meghalaya,Varies,Varies,1.66
Mustard,Oilseed,Black (Regur),19-29,300-600,Rabi,Urea,Thrips,Maharashtra,Oct-Nov,Mar-Apr,1.36
Cardamom,Other,Clay Loam,18-28,200-700,Annual,Urea,Root rot,Rajasthan,Varies,Varies,2.96
Moong (Green Gram),Pulse,Black (Regur),16-26,700-1200,Annual,Balanced NPK 100:50:50,Root rot,Odisha,Varies,Varies,3.17
Pepper,Vegetable,Loamy,30-40,300-1100,Rabi,NPK 12:32:16,Bacterial blight,Punjab,Oct-Nov,Mar-Apr,2.23
Apple,Fruit,Saline,13-23,1200-1500,Zaid,DAP,Fall armyworm,Himachal Pradesh,Mar-Apr,Jun-Jul,24
Bitter Gourd,Spice,Laterite,21-31,300-600,Annual,NPK 12:32:16,Powdery mildew,Meghalaya,Varies,Varies,2.72
Pomegranate,Fruit,Saline,26-36,900-1700,Rabi,Urea,Powdery mildew,Nagaland,Oct-Nov,Mar-Apr,2.62
Moringa,Vegetable,Loamy,18-28,1500-2300,Annual,Ammonium Sulphate,Fall armyworm,Arunachal Pradesh,Varies,Varies,3.39
Betel Vine,Plantation,Red,17-27,400-700,Perennial,Ammonium Sulphate,Root rot,Uttarakhand,Varies,Varies,3.64
Banana,Fruit,Sandy,19-29,1500-1700,Zaid,Balanced NPK 100:50:50,Fungal wilt,Kerala,Mar-Apr,Jun-Jul,45
Grapes,Fruit,Red,16-26,200-400,Zaid,Gypsum,Early blight,Jharkhand,Mar-Apr,Jun-Jul,4.63
Bajra,Cereal,Red,18-28,400-500,Zaid,NPK 12:32:16,Anthracnose,Jharkhand,Mar-Apr,Jun-Jul,2.09
Drumstick,Cereal,Alluvial,12-22,700-1500,Zaid,DAP,Powdery mildew,Delhi,Mar-Apr,Jun-Jul,2.57
Tur (Pigeon Pea),Pulse,Red,17-27,300-1100,Annual,DAP,Locusts,Meghalaya,Varies,Varies,4.61
Tomato,Vegetable,Black (Regur),17-27,1200-1300,Zaid,Organic FYM,Fall armyworm,Arunachal Pradesh,Mar-Apr,Jun-Jul,2.77
Grapes,Fruit,Laterite,14-24,300-500,Rabi,NPK 12:32:16,Late blight,Madhya Pradesh,Oct-Nov,Mar-Apr,2.09
Drumstick,Other,Sandy Loam,13-23,700-1500,Perennial,Gypsum,Anthracnose,Kerala,Varies,Varies,5.03
Sunflower,Oilseed,Loamy,21-31,600-700,Annual,Urea,Mosaic virus,Meghalaya,Varies,Varies,3.52
Grapes,Fruit,Peaty,22-32,600-900,Kharif,Lime,Rust,Uttarakhand,Jun-Jul,Sep-Oct,2.15
Pear,Fruit,Sandy,12-22,500-800,Rabi,Muriate of Potash,Late blight,Manipur,Oct-Nov,Mar-Apr,2.57
Lentil,Pulse,Sandy,12-22,900-1400,Perennial,Organic FYM,Leaf spot,Madhya Pradesh,Varies,Varies,4.65
Sugarcane,Plantation,Peaty,12-22,700-1200,Annual,No fertilizer (organic),Thrips,Arunachal Pradesh,Varies,Varies,80
Pumpkin,Cereal,Alluvial,30-40,1500-1700,Perennial,Balanced NPK 100:50:50,Cutworm,Uttar Pradesh,Varies,Varies,2.67
Rapeseed,Oilseed,Black (Regur),15-25,500-1300,Rabi,Compost,Anthracnose,Madhya Pradesh,Oct-Nov,Mar-Apr,3.78
Bottle Gourd,Oilseed,Sandy,15-25,1500-2300,Zaid,NPK 12:32:16,Brown spot,Haryana,Mar-Apr,Jun-Jul,2.23
Guava,Fruit,Alluvial,10-20,1000-1800,Rabi,DAP,Late blight,Assam,Oct-Nov,Mar-Apr,16
Jute,Plantation,Clay Loam,29-39,800-1600,Zaid,Muriate of Potash,Aphids,Gujarat,Mar-Apr,Jun-Jul,1.75
Wheat,Cereal,Clay Loam,24-34,1500-2000,Kharif,NPK 20:20:0,Leaf spot,Assam,Jun-Jul,Sep-Oct,2.15
Garlic,Vegetable,Loamy,22-32,400-900,Rabi,Compost,Brown spot,Jammu & Kashmir,Oct-Nov,Mar-Apr,2.29
Saffron,Oilseed,Clay Loam,14-24,200-500,Zaid,NPK 20:20:0,Fungal wilt,Chhattisgarh,Mar-Apr,Jun-Jul,4.26
Pumpkin,Pulse,Alluvial,25-35,400-700,Perennial,Balanced NPK 100:50:50,Brown spot,Nagaland,Varies,Varies,2.38
Tomato,Vegetable,Black (Regur),27-37,200-300,Zaid,NPK 20:20:0,Early blight,Puducherry,Mar-Apr,Jun-Jul,2.48
Barley,Cereal,Sandy,26-36,1200-1700,Zaid,Ammonium Sulphate,Anthracnose,Gujarat,Mar-Apr,Jun-Jul,1.97
Barley,Cereal,Sandy,15-25,1000-1500,Zaid,Gypsum,Cutworm,Haryana,Mar-Apr,Jun-Jul,2.26
Sunflower,Oilseed,Black (Regur),20-30,200-400,Perennial,NPK 12:32:16,Mosaic virus,Gujarat,Varies,Varies,4.24
Onion,Vegetable,Peaty,20-30,800-1000,Zaid,No fertilizer (organic),Early blight,Tripura,Mar-Apr,Jun-Jul,4.63
Cinnamon,Cereal,Laterite,14-24,200-400,Rabi,Urea,Early blight,Karnataka,Oct-Nov,Mar-Apr,1.62
Masoor,Pulse,Alluvial,24-34,700-1500,Perennial,Gypsum,Early blight,Bihar,Varies,Varies,4.58
